Model,ECS,NET,PL,WV+LR,ALB,CLD,ERR,TCR
ACCESS1-0,3.83,-0.76,-3.18,1.26,0.43,0.47,0.25,
ACCESS1-3,3.53,-0.81,-3.21,1.25,0.41,0.65,0.08,
BNU-ESM,3.92,-0.92,-3.14,1.35,0.61,0.2,0.05,
CCSM4,2.94,-1.18,-3.19,1.28,0.48,0.27,-0.02,
CNRM-CM5,3.25,-1.13,-3.2,1.24,0.46,0.15,0.21,
CNRM-CM5-2,3.44,,,,,,,
CSIRO-Mk3-6-0,4.08,-0.64,-3.26,1.25,0.38,0.67,0.32,
CanESM2,3.69,-1.03,-3.28,1.35,0.39,0.52,-0.02,
FGOALS-g2,3.38,-0.84,-3.18,1.4,0.59,0.38,-0.03,
FGOALS-s2,,-0.91,-3.19,1.32,0.52,0.03,0.42,
GFDL-CM3,3.97,-0.76,-3.18,1.08,0.43,0.88,0.02,
GFDL-ESM2G,2.39,-1.23,-3.2,1.17,0.3,0.22,0.27,
GFDL-ESM2M,2.44,-1.37,-3.2,1.13,0.29,0.11,0.3,
GISS-E2-H,2.31,-1.66,-3.16,1.27,0.32,-0.12,0.03,
GISS-E2-R,2.11,-1.76,-3.17,1.3,0.24,-0.14,0.01,
HadGEM2-ES,4.61,-0.63,-3.17,1.3,0.4,0.7,0.14,
IPSL-CM5A-LR,4.13,-0.75,-3.26,1.2,0.27,1.18,-0.14,
IPSL-CM5A-MR,4.12,-0.8,-3.28,1.18,0.19,1.25,-0.14,
IPSL-CM5B-LR,2.6,-1.02,-3.17,1.32,0.28,0.62,-0.06,
MIROC-ESM,4.67,-0.92,-3.32,1.23,0.5,0.68,-0.02,
MIROC5,2.72,-1.53,-3.24,1.29,0.48,-0.04,-0.02,
MPI-ESM-LR,3.63,-1.13,-3.16,1.09,0.44,0.44,0.06,
MPI-ESM-MR,3.46,-1.19,-3.17,1.05,0.39,0.47,0.06,
MPI-ESM-P,3.45,-1.23,-3.18,1.08,0.4,0.39,0.08,
MRI-CGCM3,2.6,-1.23,-3.24,1.25,0.51,0.28,-0.03,
NorESM1-M,2.8,-1.1,-3.17,1.32,0.45,0.29,0.01,
NorESM1-ME,,-1.1,-3.16,1.3,0.45,0.33,-0.01,
BCC-CSM1-1-m,2.86,-1.19,-3.27,1.29,0.4,0.4,0,
BCC-CSM1-1,2.83,-1.15,-3.21,1.27,0.45,0.28,0.05,
INM-CM4,2.08,-1.43,-3.18,1.23,0.43,0.24,-0.15,
